comment,label
"حطو شوية من البرتغاليين و الي لعبو ويا رونالدو عشان يخلون شوية مقارنه  

Messi goat",ايجابي
لاميسى  ولا  رونالدو  هما افضل لاعبى العالم ولكن الأفضل والاروع والاحسن والامتع والامهر فى تاريخ اللعبة فى العالم اجمع منذ أن عرف الانسان لعبة كرة القدم  وعلى مر العصور هو  بيبو مصر محمود الخطيب  يليه بيليه ثم ماردونا  إنتهى الجدال والنقاش ورفعت الجلسة  وإللى ماشافش بيبو الخطيب وهو بيلعب كرة ماشافش كرة فى الاساس  جمال وسحر  ورونق  وكل فنون  كرة القدم  والكرة بين اقدام الخطيب حبيب ومعشوق الملايين للان رغم مرور عشرات السنين على اعتزاله,ايجابي
"العجيب أن اكث من اختار ميسي بدون الحاجة لتبريير
بينما في المقابل من اختار ك رونالدو تجده يبحث عن مبرر لإختياره

والباقي مترووك لكم اتعرفو معناه.",ايجابي
دائما الاسطورة ميسي الأفضل في التاريخ,سلبي
ليونيل ميسي,سلبي
لوما كرستيانو مازورعت حب الكره  وعشقهاء في قلوبنا  ههههه وحتا الكره تعشق رلاندو اذا لمسها تضحك له و تردله الجميل بهدف ناووي يدخل اتاريخ لانه هو من احياه في قلوبنا .........,محايد
الاثنين افضل كريستيانو رونالدو ️ليونيل ميسي,ايجابي
رونالدو افضل لاعب بالتاريخ اول شيئ وثل للقمة بمجهوداته الخاصة ثانيا و هو الأهم بأنه قدم و حقق التاريخ مع اندية مختلفة مو زي ميسي + لاننسى رونالدو يحارب الفيفا ليس متل مدللهم ميسي,ايجابي
بصراحه ميسي خارج برشلونة.صفر تقريباً. عكس رونالدو الذي يبدع في كل مكان..ميسي اصبح يعيش في ظل مبابي.,ايجابي
"من يرى نفسه افضل من الأخر فهاذا غرور 
ولكن الأغلب قال ميسي وافضل لاعب اعرفه من بينهم رونالدينهو صوت لصالح ميسي 
ماقال هو افضل قال ميسي",سلبي
كرستيانو رونالدو أفضل لاعب في تاريخ كرة القدم بلا شك ولا مجال للمقارنة بينه وبين أي لاعب آخر سواء كان ميسي أو غيره ⁦️⁩⁦️⁩,ايجابي
"كريستيانو أفضل هداف وأفضل شخصية لاعب متكامل و مطلوب في أي فريق

ميسي أفضل لاعب..",سلبي
ميسي موهبه سرعه حركه اقدامه على لمس الكره لا تقارن بسرعة احد ع الاطلاق . متقدم على الجميع ٣٠ جزء من الثانيه حين تود قطع الكرة تقوم انت بادهال قدمك اليه يكون هو قد عرف بذلك وابعد الكره عن قدمك .,سلبي
"لا يوجد انسان يبدع في مجال معين ويقول انا المبدع الاوحد الا اذا كان مؤمنا ان  كثير من الاخرين غير مؤمنين بقدراته، وهذا ما قاله رونالدوا عندما سأل من الافضل فقال أنا...الحكم عند الناس وليس عندك  يا رونالدوا على عكس ميسي المتواضع، هذا اولا وثانيا هناك لقطتين من كاس العالم في قطر تبين من هو الافضل، واحد يخرج باكيا من الملعب والثاني رفع  كاس
 العالم",ايجابي
رونالدو لا يتعدى لاعب واحد ميسي يسحل الفريق ويسجل .اكثر من صنع واكثر من حصل على رجل المباراة في كل التاريخ,ايجابي
لست مشجع لمدريد ولا برشلونه وجميعهم اساطير بتاريخهم ولكن بحسب الاستفتاء بنظري كريستيانو قاموس كورة القدم ️,محايد
"عندما غادر ميسي برشلونة عرفنا انه مش لاعب كامل

رونالدو لعب في كل اراضي الله  وكان دايماًيكون  الدون️",ايجابي
لا يوجد مقارنة هو افضل لاعب في تاريخ كرة القدم بلا منازع إنه ملك كرة القدم,محايد
من الأفضل رونالدو أو ميسي 2022 ؟ الجواب من أشهر اللاعبين و المدربين..( مترجم ),ايجابي
"الأفضل في كل مركز، لكن بقرار الذكاء الاصطناعي",محايد
PolyglotSport بالعربية,محايد
شاهد ما قاله أهم المدربين عن ميسي و كريستيانو .. من توافقونه الرأي؟,سلبي
ملخص مباراة مانشستر سيتي ومانشستر يونايتد (3-0) | الدوري الإنجليزي الممتاز - الجولة 4,محايد
ليه رونالدو الظاهرة هو أخطر مهاجم شافته الكورة؟,ايجابي
الصفارة,محايد
عزمت نيمار على كبسة وأكلات عربية 😍🔥 | I Invited Neymar for Kabsa and Arabic Dishes,محايد
محمد عدنان Mohamad Adnan,محايد
اجمل لحظات احترام والإنسانية لكريستيانو رونالدو,ايجابي
سألت أقوى 50 لاعب في التاريخ مين الأفضل ميسي ولا رونالدو !!,ايجابي
آخر هدف سجله لاعبين برشلونة قبل الرحيل • لحظات مؤثرة وأهداف خرافية,محايد
برشلونة بالعربي,محايد
نيمار يعترف: هؤلاء اللاعبين الخمسة فقط أكثر مهارة مني !,محايد
مقارنة ابو تريكة : بين رونالدو و ميسي .. دا الفرق اللي بينهم,ايجابي
أعظـم قصص الإنتقــام في كـرة القــدم 2022 | عندما تنصـفك الساحـرة المسـتديرة,محايد
"الكرة الذهبية، لكن من اختيار الذكاء الاصطناعي (2010 ➡️ اليوم)",محايد
PolyglotSport بالعربية,محايد
مقابلة ميسي و زيدان التاريخية 🤯 (مترجمة) | ميسي معجب ب زيدان 🥰 | و زيدان يصف ميسي بالسحر 🪄🔥,سلبي
إجابات 15 أسطورة عن سؤال من أفضل لاعب في التاريخ؟ | مارادونا يفاجئ الجميع وزيدان يفضل لاعب أوروبي..,محايد
اتفرج على الفيديو ده لو عايز تستغل استفزاز الناس لصالحك,محايد
Abdallah lala - عبدالله لالا,محايد
لأول مرة قصة الأسطورة كريستيانو رونالدو 🔥 من مريض بالقلب لمحطم كل الأرقام القياسية !,ايجابي
محمد عدنان Mohamad Adnan,محايد
أفضل أهداف ميسي الأسطورية التي جعلت الشوالي يعتزل التعليق 🔥,سلبي
رقم قياسي واحد لا يُكسر لكل لاعب,محايد
PolyglotSport بالعربية,محايد
ليه الفيفا بتكره كريستيانو رونالدو؟ القصة الكاملة,ايجابي
Hajovic - حجوفيتش,محايد
قبل مواجهته مجدداً.. ماذا قال نجوم ريال مدريد عن ليونيل ميسي ؟,سلبي
"ترتيب أعظم 10 لاعبين في تاريخ كرة القدم🐐🔥 هل ميسي الأفضل؟، أم مارادونا أو بيليه أو كريستيانو؟",سلبي
ميسي أم رونالدو🔥 من الأفضل؟ أقوى مقارنة في التاريخ!! (لأول مرة بهذا الشكل),ايجابي
محمد عدنان Mohamad Adnan,محايد
بيان عـــاجــل! باكستان النووية للعرب: كونوا رجال لمرة واحدة.. والأنظمة العربية: انتهى الحفل في قطر!,محايد
تعرف على جوائز وألقاب الاسطورتين كريستيانو وميسي منذ بداية مسيرتهما وحتى الان...,سلبي
عبدالناصر واصل Abdulnasser Wasel,محايد
جميع اهداف كريستيانو رونالدو ضد برشلونة بتعليق عربي | 18 هدف | HD,ايجابي
محمد عدنان يهزم ميسي ونيمار يثأر !🔥 | Adnan defeats Messi and Neymar avenges !,سلبي
محمد عدنان Mohamad Adnan,محايد
أطرف مقابلات كريستيانو رونالدو .. وسخرية أمام الكاميرات دون توقف !,ايجابي
٣ لاعبين حقدوا على كريستيانو رونالدو.. وأحدهم تحول لعدوه اللدود,ايجابي
كيف حطم ريال مدريد بقيادة زيدان كرة القدم الأوروبية؟!😨🔥,محايد
Omar Nedal | عمر نضال,محايد
25 هدف اسطوري لكريستيانو رونالدو ○ جنون المعلقين الجزء 1,ايجابي
مستر بيست يتحدى محمد عدنان أقوى تحدي معلومات كرة قدم 🔥,محايد
محمد عدنان Mohamad Adnan,محايد
الدحيح | آخر حلقة عن ميسي,سلبي
١١ مدرباً يختارون أفضل لاعب في التاريخ.. من تؤيد بينهم؟,محايد
نحن البرشا نحن متعة كرة القدم,محايد
اهداف اسطورية لا يستطيع سوى كريستيانو رونالدو تسجيلها جنون حفيظ الدراجي و الشوالي و فهد العتيبي,ايجابي
هكذا رد ميسي على اساءة بيليه || هز كيانه,سلبي
لمحة رياضة,محايد
كريستيانو رونالدو ( نسخة اليوفي ) المستحيل لم يكن كافي لتحقيق دوري الابطال,ايجابي
كريموفيتش | KARIMOVIC,محايد
ميسي ام رونالدو من الأفضل ومن الأصعب وفقاً لحراس المرمى ؟,ايجابي
عندما يتكلم لاعبو كرة القدم اللغة العربية ..هكذا تكون النتيجة!!,محايد
أغرب أسرار و خفايا اليوتيوبرز! (فارس) #1,محايد
"تياغو ميسي لوالده : "" لماذا فزت بالكرة الذهبية السابعة ؟ "" 😂",سلبي
#ABtalks with Ronaldinho - مع رونالدينيو | Chapter 166,محايد
من الذاكرة : برشلونة وريال مدريد /موسم 2011-2012/تعليق عصام الشوالى /جودة عالية,محايد
جنة كروية HD,محايد
الحلقة المنتظرة 🔥 أكثر 10 لاعبين يكرههم محمد عدنان ( قبلت التحدي ) !,محايد
محمد عدنان Mohamad Adnan,محايد
كريستيانو رونالدو | النسخة الأفضل علي الإطلاق!,ايجابي
Football Underdogs - فوتبول أندردوجز,محايد
افضل اداء فردي لـميسي في تاريخه 💥 بمجهود اسطوري لا ينسى 🤯🔥| برشلونة 7-0 سيلتيك ✨⟩ دوري ابطال [2016],سلبي
تحديت محمد عدنان في تحدي كروي مجنووون 🤯⚽ | تحدي النجوم ⭐,محايد
فياض الكندي | Fayadh Al-kindi,محايد
ما الذي قاله ليفاندوفسكي حتى جعل كريستيانو رونالدو يضحك  هكذا على الهواء مباشرة,ايجابي
عشق كرة القدم,محايد
ديديه دروغبا | المهاجم الذي ابكى مدافعي العالم,محايد
Ibrahim Kotaesh | ابراهيم قطيش,محايد
🚨ريال مدريد يتحدى التحكيم وبرشلونة يتحدى مدريد بالستة❌,محايد
Abu 3meer - أبو عمير,محايد
30 هدف جعل العالم يقف فى ذهول من ليونيل ميسي | FHD,سلبي
روعة كرة القدم,محايد
"صامويل إيتو يشتم و يسب بيب غوارديولا مباشرة😱😱و يحكي عن مشاكله في برشلونة، مترجم و بجودة عالية HD",محايد
شاشةTV chachaTV,محايد
ما لم تشاهده في نهائي كأس العالم 🏆 خفايا وأسرار ! 🔥,محايد
محمد عدنان Mohamad Adnan,محايد
3 فرق سجلو على برشلونة في البداية فكان العقاب قاسي !!,محايد
عندما يتحدث نجوم كرة القدم اللغة العربية,محايد
كلمة الرئيس التركي رجب طيب أردوغان خلال أعمال القمة العربية الإسلامية الطارئة في الدوحة,محايد
العربي - أخبار,محايد
حضن ساخن من محمد صلاح لزوجة مالك ليفربول يثير تفاعلا..أم مكة هتزعل,محايد
جديد x جديد,محايد
مونتاج حزين 💔 عن رحيل اساطـير برشلونة 😪 لقد انتهى الجـيل الذهـبي لبرشـلونة !! 😔 • بصـوت المعلقين 💙,محايد
ليونيل ميسي  - Big Time Podcast,سلبي
"كُل أهداف ميسي الـ 91 في عام واحد "" 2012 "" تعليق عربي I رقم تاريخي غير قابل للتحطيم !!",سلبي
نحن البرشا نحن متعة كرة القدم,محايد
زواج #كريستيانو_رونالدو و #جورجينا رسميًا بعد 9 سنوات وإنجاب طفلين!💍 | وتعليق آيتن عامر🔴 #rmc_trends,ايجابي
ملخص المباراة | النصر 2-0 الخلود - الجولة الثانية من دوري روشن السعودي,محايد
رياضة ثمانية,محايد
وثائقي: كأس العالم الذي أنقذ ميسي من الموت,سلبي
عالم موازي,محايد
الليلة التي فقد بها حفيظ الدراجي عقلة بسبب مافعلة  الـ MSN في ارسنال | ثلاثي مرعب 🔥 | Full HD,محايد
بيكيه لا زال يفضل ميسي على رونالدو..وهذا ما قاله عن مواجهة البرتغالي!,ايجابي
ملخص مباراة,محايد
وصفات الملكه,محايد
بودكاست يناقش كتاب أسطورة العالم كريستيانو رونالدو,ايجابي
قناة تكوين الثقافية - Tkween Cultural channel,محايد
ثاني أصعب يوم في حياتي مع كرة القدم .. مبروك ميسي والأرجنتين,سلبي
محمد عدنان Mohamad Adnan,محايد
ملخص المباراة | الهلال والقادسية,محايد
رياضة ثمانية,محايد
وثائقي: ليونيل ميسي... الفضائي الذي غير تاريخ كرة القدم! القصة الكاملة,سلبي
ستيب سبورت - Step Sport,محايد
ردة فعل مدريدي🤬 متعصب مباشرة على مباراة برشلونة و فالنسيا ( اكلوهم اكل😭😱),محايد
عبدالله الأفندي - Abdullah Al Afandi,محايد
أشرف بن عياد: استقلت بعد 15 دقيقة من إعلان رحيل ميسي عن برشلونة,سلبي
أجمل عـبارات التي قالها المعلق عصام الشوالي عن ميسي 👑❤ كلمات سيخلدها التاريخ💙مونتاج لن تمـل منه😍,سلبي
أبرز الصفقات من سوق الانتقالات للاعبى كره القدم في الساعات الأخيرة,محايد
جديد x جديد,محايد
اول تعليق من يوسف شيبو وياسر القحطاني بعد فوز برشلونه 6-0 علي فانلسيا,محايد
ليونيل ميسي ( نسخة 2019 الإعجازية ) | القائد الذي قهر الجميع... ولكن؟!,سلبي
سليمينهو,محايد
"""في ليلة وداع دي بروين.. السيتي ينتصر بثلاثية وكوفازتش  ومرموش يبدعان!""❤️❤️",محايد
الفكرة التكتيكيه,محايد
